index,City,State,Zip,Bank,BankState,NAICS,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,DisbursementGross,BalanceGross,GrAppv,SBA_Appv,MIS_Status
0,GLEN BURNIE,MD,21060,"BUSINESS FINANCE GROUP, INC.",VA,811111,7,1,6,7,1,1,0,N,743000,0,743000,743000,0
1,WEST BEND,WI,53095,JPMORGAN CHASE BANK NATL ASSOC,IL,722410,20,1,0,0,1,0,N,N,137000,0,137000,109737,0
2,SAN DIEGO,CA,92128,UMPQUA BANK,OR,0,2,1,0,0,1,0,0,N,280000,0,280000,210000,0
3,WEBSTER,MA,1570,HOMETOWN BANK A CO-OPERATIVE B,MA,621310,7,1,0,0,1,1,0,Y,144500,0,144500,122825,0
4,JOPLIN,MO,64804,U.S. BANK NATIONAL ASSOCIATION,OH,0,2,2,0,0,1,0,N,Y,52500,0,52500,42000,0
5,NEWTOWN,OH,45244,HAMILTON CNTY DEVEL COMPANY IN,OH,234110,5,1,2,0,1,0,N,N,52000,0,52000,52000,0
6,MISSION VIEJO,CA,92691,BANK OF AMERICA CALIFORNIA N.A,CA,445310,3,1,0,0,1,0,Y,N,50000,0,50000,25000,0
7,OSWEGO,IL,60543,JPMORGAN CHASE BANK NATL ASSOC,IL,812990,1,1,2,1,0,1,Y,N,38619,0,25000,12500,1
8,DECATUR,GA,30033,WELLS FARGO BANK NATL ASSOC,SD,561421,10,1,1,11,1,1,Y,N,32714,0,20000,10000,1
9,ROLLING HILLS,CA,90274,BANC OF CALIFORNIA NATL ASSOC,CA,541512,4,1,4,4,1,1,Y,N,90055,0,50000,25000,0
10,SIGNAL HILL,CA,90806,"CITIBANK, N.A.",CA,0,3,1,0,0,0,0,N,N,100000,0,100000,90000,0
11,CLINTON,MI,49236,UPS CAPITAL BUSINESS CREDIT,CT,323110,18,1,0,18,1,1,0,N,500000,0,500000,375000,0
12,BROOKLYN,NY,11216,BANK OF AMERICA NATL ASSOC,RI,445310,6,2,0,6,1,1,T,N,112070,0,100000,50000,1
13,NORTH CHARLESTON,SC,29418,CERTIFIED DEVEL CORP OF SO. CA,SC,721110,1,1,0,15,22470,1,N,N,856000,0,856000,856000,0
14,RUSKIN,FL,33570,"PNC BANK, NATIONAL ASSOCIATION",OH,0,3,1,0,0,1,0,N,N,185100,0,185100,138825,0
15,WATERLOO,IL,62298,FIRST CLOVER LEAF BANK NATL AS,IL,453910,5,2,0,5,65152,1,Y,N,10000,0,10000,5000,0
16,Cincinnati,OH,45241,THE HUNTINGTON NATIONAL BANK,OH,811411,1,1,2,1,0,1,N,N,8000,0,8000,4000,0
17,BLAIR,WI,54616,UNION BANK OF BLAIR,WI,235110,1,2,0,0,1,0,N,Y,43085,0,43085,38777,0
18,LENEXA,KS,66215,CSRA LOCAL DEVEL CORP,GA,0,25,1,15,0,1,0,N,N,538000,0,538000,538000,0
19,SALMON,ID,83467,WELLS FARGO BANK NATL ASSOC,SD,541110,2,2,0,0,1,1,0,Y,15600,0,15600,12480,0
20,SAN DIEGO,CA,92114,BBCN BANK,CA,446120,1,2,1,1,1,1,0,N,5000,0,5000,4250,0
21,VISTA,CA,92081,CDC SMALL BUS. FINAN CORP,CA,421210,11,1,20,11,1,1,0,N,628000,0,628000,628000,0
22,CALEDONIA,MI,49316,CHEMICAL BANK,MI,442210,2,2,0,0,1,0,N,Y,50000,0,50000,40000,0
23,PHOENIX,AZ,85021,NATIONAL BANK OF ARIZONA,AZ,235930,30,1,2,32,1,0,0,N,81500,0,153000,114750,0
24,SANDWICH,IL,80548,CENTRUE BANK,IL,721211,2,1,2,2,1,1,0,N,420000,0,420000,315000,0
25,Nashua,NH,3063,"TD BANK, NATIONAL ASSOCIATION",DE,561790,21,1,0,21,0,1,N,N,38000,0,38000,19000,0
26,Buffalo,NY,14222,MANUFACTURERS & TRADERS TR CO,NY,722110,9,2,0,9,0,1,N,N,30000,0,30000,15000,0
27,ALAMOGORDO,NM,88311,WESTERN BANK,NM,235110,4,1,0,0,1,1,0,Y,78900,0,78900,63120,1
28,BUFFALO,NY,14203,MANUFACTURERS & TRADERS TR CO,NY,235110,35,1,0,0,1,1,N,N,150000,0,150000,127500,0
29,GLASGOW,KY,42141,"SOUTH CENTRAL BANK, INC.",KY,492110,2,1,0,0,1,2,0,Y,68000,0,68000,57800,1
30,MONTELLO,WI,53949,U.S. BANK NATIONAL ASSOCIATION,OH,561730,5,1,0,5,0,2,Y,N,38756,0,15000,7500,1
31,ALPHARETTA,GA,30004,BANK OF AMERICA NATL ASSOC,NC,811490,4,1,0,4,1,1,0,N,16500,0,16500,8250,0
32,MIAMI,FL,33122,BANK OF THE WEST,CA,541990,15,1,0,0,1,1,0,N,396000,0,396000,297000,0
33,EDISON (TOWNSHIP OF),NJ,8817,NEW JERSEY BUS. FINAN CORP,NJ,721110,3,2,12,0,29125,1,0,N,1950000,0,1950000,1950000,0
34,TUCSON,AZ,85711,JPMORGAN CHASE BANK NATL ASSOC,IL,621210,5,1,0,0,1,0,Y,N,50000,0,50000,25000,0
35,HOUSTON,TX,77076,JPMORGAN CHASE BANK NATL ASSOC,IL,441120,5,2,0,5,0,1,Y,N,93975,0,25000,12500,0
36,PITTSBURGH,PA,15212,"PNC BANK, NATIONAL ASSOCIATION",DE,811198,3,1,1,3,1,1,T,N,90050,0,50000,25000,0
37,ROSEVILLE,MN,55391,ANCHOR BANK NATL ASSOC,MN,0,15,1,0,0,1,0,0,Y,61000,0,61000,48800,1
38,OKLAHOMA CITY,OK,73108,BANK OF AMERICA NATL ASSOC,NC,524298,25,1,0,25,1,1,0,N,30000,0,30000,15000,0
39,MT. PLEASANT,WI,53406,RACINE CNTY BUS. DEVEL CORP,WI,811121,20,1,14,0,1,0,N,N,504000,0,504000,504000,0
40,CLEVELAND,OH,44102,KEYBANK NATIONAL ASSOCIATION,OH,331221,2,1,0,0,1,0,Y,N,20000,0,20000,10000,0
41,LAGUNA NIGUEL,CA,92677,BANK OF AMERICA NATL ASSOC,NC,541310,1,1,3,1,1,1,Y,N,45163,0,40000,20000,0
42,LITITZ,PA,17543,BANK OF AMERICA NATL ASSOC,NC,311999,2,2,0,2,0,2,Y,N,28415,0,10000,5000,1
43,SALEM,OR,97304,BANK OF AMERICA NATL ASSOC,NC,524210,3,2,1,3,0,2,N,N,15983,0,10000,5000,1
44,KENNEWICK,WA,99336,U.S. BANK NATIONAL ASSOCIATION,OH,621210,2,2,0,0,1,0,N,N,99000,0,99000,89100,0
